51,97
38,30
94,82
42,41
3,93
53,89
92,74
79,68
14,79
18,57
6,28
4,1
24,20
16,15
9,7
24,35
9,28
18,33
32,34
29,28
39,35
2,3
34,4
30,12
26,4
13,17
32,0
15,0
14,38
30,8
37,29
4,37
14,38
37,24
31,15
11,14
14,28
31,8
31,1
12,34
15,1
37,32
16,34
3,21
14,8
32,28
38,39
18,23
24,1
31,18
21,79
0,81
23,74
10,91
20,83
32,75
10,75
17,64
39,73
15,96
8,86
39,71
31,64
13,88
9,88
6,63
29,86
19,72
38,87
27,79
24,96
26,65
9,64
16,65
11,82
35,66
36,60
37,91
11,97
33,67
21,95
33,68
37,70
5,88
33,97
14,83
6,66
31,75
31,79
13,67
72,19
63,21
96,19
66,23
68,19
85,11
67,4
62,33
66,16
89,35
80,5
62,9
62,26
96,38
73,19
78,30
69,8
96,0
65,3
92,15
95,14
79,36
84,36
83,28
80,34
64,34
92,15
71,5
88,26
78,36
66,17
69,0
67,17
73,10
93,6
97,22
71,28
60,11
79,15
67,6
68,5
60,1
65,30
61,29
86,6
93,6
64,38
90,38
60,10
96,5
